User,month,year,parameter,value,NormValue,PlotValue,alpha,UserNorm,UserNormValue,MoYear,dx,dy
Cocopah Indian Reservation,3,2012,Consumptive Use,419,0.416915422885572,0.416915422885572,0.5,0.416915422885572,0.416915422885572,2012-03-01,699103.7691,25850117.71
Colorado River Indian Reservation,3,2012,Consumptive Use,27374,0.508640231892675,0.508640231892675,0.5,0.508640231892675,0.508640231892675,2012-03-01,1172486.567,25877855.74
Fort Mojave Indian Reservation,3,2012,Consumptive Use,4824,0.592119798698908,0.592119798698908,0.5,0.592119798698908,0.592119798698908,2012-03-01,1424007.529,26266424.52
Imperial Irrigation District,3,2012,Consumptive Use,306078,0.874433619975431,0.874433619975431,0.5,0.874433619975431,0.874433619975431,2012-03-01,699103.7691,25988886.65
Lake Havasu City,3,2012,Consumptive Use,601,0.723225030084236,0.723225030084236,0.5,0.723225030084236,0.723225030084236,2012-03-01,1424007.529,26682731.33
Met. Water District of So. Cal.,3,2012,Consumptive Use,NA,NA,0.711737492312534,0.5,NA,0.711737492312534,2012-03-01,1424007.529,26405193.45
Mohave Valley I.D.D.,3,2012,Consumptive Use,967,0.359747023809524,0.359747023809524,0.5,0.359747023809524,0.359747023809524,2012-03-01,1172486.567,26495712.85
North Gila Valley I.D.D.,3,2012,Consumptive Use,1187,0.590253605171556,0.590253605171556,0.5,0.590253605171556,0.590253605171556,2012-03-01,1905787.703,26266424.52
Palo Verde Irrigation District,3,2012,Consumptive Use,33727,0.50311022271283,0.50311022271283,0.5,0.50311022271283,0.50311022271283,2012-03-01,699103.7691,26197040.05
Robert B. Griffith Water Project,3,2012,Consumptive Use,NA,NA,0.1,0.5,NA,0.5,2012-03-01,699103.7691,26919087.4
Unit 'B' I.D.D.,3,2012,Consumptive Use,779,0.25048231511254,0.25048231511254,0.5,0.25048231511254,0.25048231511254,2012-03-01,1905787.703,26127655.58
Wellton-Mohawk I.D.D.,3,2012,Consumptive Use,NA,NA,0.605156410294168,0.5,NA,0.605156410294168,2012-03-01,1905787.703,25988886.65
Yuma County WUA,3,2012,Consumptive Use,NA,NA,0.501946159309623,0.5,NA,0.501946159309623,2012-03-01,1905787.703,25572579.84
Yuma Irrigation District,3,2012,Consumptive Use,3884,0.704900181488203,0.704900181488203,0.5,0.704900181488203,0.704900181488203,2012-03-01,1905787.703,25711348.78
Yuma Mesa I.D.D.,3,2012,Consumptive Use,5466,0.307285810658871,0.307285810658871,0.5,0.307285810658871,0.307285810658871,2012-03-01,1905787.703,25850117.71
Bard Unit,4,2012,Diversion,6569,0.999695632323847,0.999695632323847,0.5,0.999695632323847,0.999695632323847,2012-04-01,699103.7691,25572579.84
Bullhead City,4,2012,Diversion,701,0.607979184735473,0.607979184735473,0.5,0.607979184735473,0.607979184735473,2012-04-01,699103.7691,26543962.39
Central Arizona Project,4,2012,Diversion,179531,0.957513986890457,0.957513986890457,0.5,0.957513986890457,0.957513986890457,2012-04-01,1424007.529,26127655.58
Chemehuevi Indian Reservation,4,2012,Diversion,13,0.325,0.325,0.5,0.325,0.325,2012-04-01,1424007.529,26543962.39
Cibola Valley I.D.D.,4,2012,Diversion,NA,NA,0.368758396775638,0.5,NA,0.368758396775638,2012-04-01,699103.7691,26335808.99
City of Yuma,4,2012,Diversion,1793,0.722983870967742,0.722983870967742,0.5,0.722983870967742,0.722983870967742,2012-04-01,1905787.703,26405193.45
Coachella Valley Water District,4,2012,Diversion,30699,0.726156684643769,0.726156684643769,0.5,0.726156684643769,0.726156684643769,2012-04-01,699103.7691,25711348.78
Cocopah Indian Reservation,4,2012,Diversion,666,0.41625,0.41625,0.5,0.41625,0.41625,2012-04-01,699103.7691,25850117.71
Colorado River Indian Reservation,4,2012,Diversion,60429,0.754212326202541,0.754212326202541,0.5,0.754212326202541,0.754212326202541,2012-04-01,1172486.567,25877855.74
Fort Mojave Indian Reservation,4,2012,Diversion,5233,0.350127124314198,0.350127124314198,0.5,0.350127124314198,0.350127124314198,2012-04-01,1424007.529,26266424.52
Imperial Irrigation District,4,2012,Diversion,332230,0.992961429830985,0.992961429830985,0.5,0.992961429830985,0.992961429830985,2012-04-01,699103.7691,25988886.65
Lake Havasu City,4,2012,Diversion,1004,0.749253731343284,0.749253731343284,0.5,0.749253731343284,0.749253731343284,2012-04-01,1424007.529,26682731.33
Met. Water District of So. Cal.,4,2012,Diversion,NA,NA,0.712419748900305,0.5,NA,0.712419748900305,2012-04-01,1424007.529,26405193.45
Mohave Valley I.D.D.,4,2012,Diversion,1941,0.389915628766573,0.389915628766573,0.5,0.389915628766573,0.389915628766573,2012-04-01,1172486.567,26495712.85
North Gila Valley I.D.D.,4,2012,Diversion,4424,0.741286863270778,0.741286863270778,0.5,0.741286863270778,0.741286863270778,2012-04-01,1905787.703,26266424.52
Palo Verde Irrigation District,4,2012,Diversion,72970,0.621021276595745,0.621021276595745,0.5,0.621021276595745,0.621021276595745,2012-04-01,699103.7691,26197040.05
Robert B. Griffith Water Project,4,2012,Diversion,33813,0.715346534653465,0.715346534653465,0.5,0.715346534653465,0.715346534653465,2012-04-01,699103.7691,26919087.4
Unit 'B' I.D.D.,4,2012,Diversion,2395,0.628443977958541,0.628443977958541,0.5,0.628443977958541,0.628443977958541,2012-04-01,1905787.703,26127655.58
Wellton-Mohawk I.D.D.,4,2012,Diversion,NA,NA,0.687039318630008,0.5,NA,0.687039318630008,2012-04-01,1905787.703,25988886.65
Yuma County WUA,4,2012,Diversion,NA,NA,0.605324094250269,0.5,NA,0.605324094250269,2012-04-01,1905787.703,25572579.84
Yuma Irrigation District,4,2012,Diversion,7925,0.819036792062836,0.819036792062836,0.5,0.819036792062836,0.819036792062836,2012-04-01,1905787.703,25711348.78
Yuma Mesa I.D.D.,4,2012,Diversion,18575,0.692709304493753,0.692709304493753,0.5,0.692709304493753,0.692709304493753,2012-04-01,1905787.703,25850117.71
Bard Unit,4,2012,Consumptive Use,NA,NA,0.1,0.5,NA,0.5,2012-04-01,699103.7691,25572579.84
Bullhead City,4,2012,Consumptive Use,470,0.608020698576973,0.608020698576973,0.5,0.608020698576973,0.608020698576973,2012-04-01,699103.7691,26543962.39
Central Arizona Project,4,2012,Consumptive Use,179531,0.957513986890457,0.957513986890457,0.5,0.957513986890457,0.957513986890457,2012-04-01,1424007.529,26127655.58
Chemehuevi Indian Reservation,4,2012,Consumptive Use,7,0.318181818181818,0.318181818181818,0.5,0.318181818181818,0.318181818181818,2012-04-01,1424007.529,26543962.39
Cibola Valley I.D.D.,4,2012,Consumptive Use,NA,NA,0.36864694218326,0.5,NA,0.36864694218326,2012-04-01,699103.7691,26335808.99
City of Yuma,4,2012,Consumptive Use,1056,0.660826032540676,0.660826032540676,0.5,0.660826032540676,0.660826032540676,2012-04-01,1905787.703,26405193.45
Coachella Valley Water District,4,2012,Consumptive Use,30340,0.764039284814908,0.764039284814908,0.5,0.764039284814908,0.764039284814908,2012-04-01,699103.7691,25711348.78
Cocopah Indian Reservation,4,2012,Consumptive Use,436,0.433830845771144,0.433830845771144,0.5,0.433830845771144,0.433830845771144,2012-04-01,699103.7691,25850117.71
